title~main~source~date~url
Di Hadapan Kader, OSO Beberkan Strategi Menangkan Hanura di Jabar~"Ketum Partai Hanura Oesman Sapta Odang (OSO) memotivasi kader-kadernya di Jawa Barat untuk memenangkan Pemilu Legislatif (Pileg) dan Pemilu Presiden (Pilpres) 2024. OSO membeberkan strategi memenangkan suara di Jawa Barat.
""Jabar ini selalu membantu Indonesia dalam memberikan suara-suaranya kepada partai politik, tapi apa pembangunan yang dirasakan masyarakat Jawa Barat? Karena tidak ada sebuah partai pun yang memperjuangkan secara pasti untuk kepentingan masyarakat daerah Jawa Barat, itu sebabnya kita tampil berpihak kepada daerah,"" ujar OSO dalam Pemantapan Pemenangan Caleg DPR, DPRD, DPRD Kabupaten/Kota se Jabar di Hotel Luxton, Cirebon, Jumat (29/12/2023).
OSO mempertanyakan kepada para kader, apakah Jawa Barat sudah merasakan kemakmuran seperti Ibu Kota Jakarta. OSO meyakini hal itu belum sepenuhnya terjadi.
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
""Apakah daerah Jawa Barat di sebelah ibu kota provinsi nasional, sudah sederajat dengan itu? kan belum, itu sebabnya. Jadi itulah tagline Hanura bertekad untuk bagaimana meningkatkan sosial ekonomi kehidupan masyarakat sejahtera dan makmur, itu sebabnya kita ada bersama masyarakat Jabar ini,"" tuturnya.
OSO menegaskan, apa yang ingin dicapai Partai Hanura adalah untuk keadilan, pemerataan dan kemakmuran. OSO menilai jika daerah makmur, maka Indonesia juga akan makmur.
""Bukan Jakarta makmur, Indonesia makmur. Bukan Jabar makmur, Indonesia makmur. Tapi daerah makmur, baru Indonesia makmur,"" ungkapnya.
OSO juga menyinggung mengapa Hanura mengusung paslon nomor urut 3 Ganjar Pranowo-Mahfud MD. Karena keduanya sudah memiliki track record yang baik.
""Saya tanya kader ke seluruh Indonesia lewat zoom, semua jawab Ganjar. Itulah yang namanya nurani, partai kita pakai hati nurani, Ganjar punya pengalaman dari tingkat bawah hingga tingkat gubernur, dari anggota legislatif hingga jadi gubernur 2 kali, ini fakta, ini bukan hoax. Saudara mengerti, saudara harus sampaikan ke warga Jawa Barat,"" imbau OSO.
OSO menilai Jawa Barat adalah sebuah pertandingan besar untuk merebut suara di seluruh Indonesia. Lalu bagaimana para kader bisa menyumbang suara sebanyak-banyaknya?
