title;main;source;date;url
VIDEO Viral Anies Baswedan Kena Pukul Saat Kampanye di Pontianak, Ini Tanggapan Timnas AMIN;"SERAMBINEWS.COM - Kapten Timnas Anies Baswedan - Muhaimin Iskandar (AMIN), Muhammad Syaugi, mengatakan pihaknya sudah mengambil langkah-langkah antisipatif terkait peristiwa pemukulan capres 01 Anies Baswedan oleh orang tak dikenal atau OTK dalam salah satu acara Desak Anies di Pontianak, Kalimantan Barat, Kamis (28/12/2023).
Dia berharap peristiwa tersebut tidak terulang lagi.
Sebelumnya diberitakan sebuah video bernarasi wajah dari calon presiden (capres) nomor urut 1, Anies Baswedan, dipukul oleh seorang pria yang menggunakan topi.
Dalam video beredar yang dilihat, Rabu (27/12/2023), Anies terlihat berjalan di tengah kerumunan pendukungnya saat acara di Pontianak.
Baca juga: VIDEO Momen Ganjar-Mahfud Sapa Capres-Cawapres Lain, Prabowo & Anies Tampak Saling Acuh Tak Acuh
Kemudian ada seorang pria yang bertopi datang untuk mendekati Anies.
Pria itu terlihat melayangkan tangannya ke arah depan dan mengenai wajah dari Anies Baswedan.
Usai peristiwa itu terjadi, Anies yang menggunakan baju putih terlihat tersenyum dan lanjut berjalan.
Artikel ini telah tayang di Tribun video dengan judul Anies Baswedan Dipukul OTK saat Kampanye di Pontianak, Timnas AMIN Tingkatkan Pengamanan,";aceh.tribunnews.com;2023-12-28 17:05:48;https://aceh.tribunnews.com/2023/12/28/video-viral-anies-baswedan-kena-pukul-saat-kampanye-di-pontianak-ini-tanggapan-timnas-amin
Kisah Eka Anugrah Penyumbang 100 Mobil ke Timnas Anies-Muhaimin, Mundur dari ASN Demi Rawat Ibu;"Eka Anugrah, bidan dan pengusaha yang menyumbangkan 100 mobil untuk tim pemenangan Anies-Cak Imin.
TRIBUNTORAJA.COM - Tim pemenangan Anies Baswedan-Muhaimin Iskandar (AMIN) mendapat sumbangan 100 unit mobil operasional.
Mobil operasional itu diserahkan Laskar Santri AMIN Jabar dalam sebuah acara di Pondok Pesantren Al Mizan, Jatiwangi, Majalengka, Minggu (10/12/2023) lalu.
Dibalik penyerahan 100 unit mobil ini, publik menyoroti sosok Eka Anugrah. Pasalnya, 100 unit mobil itu merupakan sumbangan dari bidan yang juga pengusaha asal Majalengka, Jawa Barat, itu.
Dari Eka, mobil tersebut diserahkan kepada Ketua Laskar Jabar, Abdul Latief, yang kemudian diteruskan kepada Bendahara Umum Timnas AMIn, Gede Widiade.
Tidak hanya itu, Eka Anugrah juga bahkan rela mencetak alat peraga kampanye (APK) untuk Anies Baswedan dan Muhaimin Iskandar.
Ia mencetak APK itu berkat kerjasama dengan adiknya yang merupakan pengusaha percetakan.
Mobil operasional itu telah dibranding dengan logo dan foto pasangan Amin, serta dilengkapi beragam alat peraga kampanye (APK).
Mundur dari ASN
Inilah nasib pilu dari Eka Anugrah selaku pendukung Anies Muhaimin yang rela kerja banting tulang merawat ibu dan tiga anaknya usai suaminya meninggal.
Diketahui jika Eka merupakan wanita yang bekerja sebagai Bidan sekaligus ASN. Namiun, Eka telah memilih mengundurkan diri sebagai ASN di tahun 2021 silam.
Bukan tanpa sebab, hal itu karena Eka Anugrah harus mengurus sang ibu yang menderita gagal ginjal stadium 5.
Lebih pilu, Eka juga harus mengurus ketiga anaknya karena suaminya meninggal dunia.
""Akhirnya mencari biografi pak Anies, kemudian 6 bulan yang lalu ibu saya kena gagal ginjal stadium 5 sehingga saya melepaskan segala aktivitas dan hanya praktek dirumah saja, kemudian saya mantan ASN mengundurkan diri 2021 karena ingin mengurus ibu saya,"" katanya.
""Dan saya punya anak 3, anak saya yang pertama down syndrome punya keterbatasan, istimewa, berkebutuhan khusus. Anak kedua kelas 4, anak ketiga 3 tahun dan waktu yang bersamaan juga saya kehilangan suami akhirnya tetap dirumah dan tidak melihat media sosial,"" kata Eka.";toraja.tribunnews.com;2023-12-27 10:37:44;https://toraja.tribunnews.com/2023/12/27/kisah-eka-anugrah-penyumbang-100-mobil-ke-timnas-anies-muhaimin-mundur-dari-asn-demi-rawat-ibu
Ditanya Kenapa Berseberangan dengan Jokowi, Anies: 2014 Saya Bantu;"Ditanya kenapa sekarang terkesan berseberangan, Anies Baswedan sebut dulu 2014 dirinya pernah membantu Jokowi.
SERAMBINEWS.COM - Ditanya kenapa sekarang terkesan berseberangan, Anies Baswedan sebut dulu 2014 dirinya pernah membantu Jokowi.
Hal itu diungkapkannya dalam tayangan YouTube pribadi Guru Besar Fakultas Ekonomi UI sekaligus Founder Rumah Perubahan, Rhenald Kasali dikutip, Senin (7/8/2023).
Prof Rhenald sempat mengingatkan kalau Anies pernah menjadi juru bicara kampanye Jokowi pada pemenangan Pilpres 2014 silam.
Kemudian mantan Rektor Universitas Paramadina itu juga pernah mengantarkan Jokowi dari Taman Menteng ke Gedung KPU.
Dengan prestasi sebagai orang yang mendirikan Indonesia Mengajar, kemudian menjadi idolanya anak-anak muda dan setelah itu diangkat menjadi Menteri Pendidikan, Prof Rhenald bertanya kenapa sekarang Anies terkesan berseberangan dengan Jokowi.
""Kok kesannya sekarang jauh dengan pak Jokowi,"" tanya Prof Rhenald.
Baca juga: Habis-habisan! Anies Bicara Negara Gagal, Politik Memeras dan Singkirkan yang Beda Pikiran
Baca juga: Kenang Pimpin Jakarta, Anies: Tidak Satu pun Pengkritik yang Dilaporkan atau Dipersekusi
Mantan Gubernur DKI Jakarta itu menyampaikan, pada dasarnya sejauh ini hubungan secara pribadi keduanya baik-baik saja, tidak ada masalah.
Menurutnya, Jokowi sebagai presiden punya waktu yang sangat terbatas dan memiliki segudang urusan sehingga yang sering bertemu adalah yang relevan berbicara dan punya kepentingan.
Sementara saat menjabat jadi Gubernur DKI Jakarta, Anies mengakui intensitas pertemuan keduanya justru sangat tinggi dan sering berinteraksi.
""Dan saya banyak dibantu oleh bapak presiden untuk urusan-urusan transportasi di Jakarta. Kenapa, kan sebagian kewenangan pusat,"" ungkap Anies.
""Untung presidennya bekas gubernur di Jakarta, jadi setiap kali saya cerita oh iya saya ingat ini masalah ini,"" tambahnya.
Kemudian setelah selesai bertugas di Jakarta, Anies menyampaikan kalau dirinya hanya warga biasa, sedangkan urusan presiden banyak.";aceh.tribunnews.com;2023-08-07 18:48:39;https://aceh.tribunnews.com/2023/08/07/ditanya-kenapa-berseberangan-dengan-jokowi-anies-2014-saya-bantu
Profil Eka Anugrah, Wanita Sumbangkan 100 Mobil untuk Tim Pemenangan Anies-Cak Imin, Seorang Bidan;"Sosok Eka Anugrah, wanita yang sumbangkan 100 mobil untuk tim pemenangan Anies. Profesinya bidan dan pengusaha
TRIBUNTRENDS.COM - Viral sosok Eka Anugrah, wanita yang menyumbangkan 100 mobil operasional untuk tim pemenangan Anies Baswedan dan Muhaimin Iskandar atau Cak Imin, ini profilnya!
Diberitakan sebelumnya, Eka Anugrah bersama Laskar Santri Amin menyumbangkan 100 mobil untuk operasional tim pemenangan Anies dan Cak Imin pada Minggu (10/12/2023).
Acara simbolis penyerahan 100 mobil itu digelar di Pondok Pesantren Al Mizan, Jatiwangi, Majalengka.
Selain mobil, Eka Anugrah juga mencetak alat peraga kampanye (APK) untuk Anies dan Cak Imin.
Eka Anugrah mencetak APK itu bekerja sama dengan sang adik yang memang punya usaha percetakan.
Sosok Eka Anugrah, wanita yang menjadi pendukung Anies Baswedan dan Muhaimin Iskandar (AMIN) yang belakangan ini menjadi sorotan setelah menyumbangkan 100 mobil operasional untuk tim pemenangan pasangan capres nomor urut 01. Diberitakan sebelumnya, pada Minggu (10/12/2023) lalu, Eka Anugrah bersama Laskar Santri AMIN sempat menyerahkan 100 mobil operasional kepada tim pemenangan Anies Baswedan di Pondok Pesantren Al Mizan, Jatiwangi, Majalengka. Ia juga bahkan rela mencetak alat peraga kampanye (APK) untuk Anies dan Muhaimin. (Istimewa via Tribun Medan)
Kemudian pada Jumat (22/12/2023) dalam acara Desak Anies di Hotel Aryaduta, Menteng, Jakarta Pusat, Eka Anugrah sempat mengurai curhatannya kepada Anies Baswedan.
Baca juga: TERBARU! Hasil 7 Survei Elektabilitas Calon Presiden Jelang Coblosan, Anies, Ganjar atau Prabowo?
Eka Anugrah mengaku mendapat sejumlah teror setelah memutuskan mendukung Anies dan Cak Imin.
Ia bahkan dilaporkan ke Bawaslu atas aksinya memberi sumbangan pada tim pemenangan Anies dan Cak Imin.
Karena hal itu pula, banyak penasaran dengan sosok dan profil Eka Anugrah ini.
Keputusannya untuk menyumbangkan 100 mobil sebagai dukungan kepada tim pemenangan AMIN menciptakan gelombang kontroversi.
Eka mendapati dirinya terperangkap dalam situasi yang penuh intimidasi.
Dalam sebuah acara yang terekam oleh akun TikTok @satusuara.id, Eka mengungkapkan perjalanan politiknya yang menarik.
Awalnya, Eka adalah pendukung setia Ganjar Pranowo, namun arah dukungannya berubah drastis setelah dianjurkan oleh tim laskar santri untuk mendukung Anies Baswedan dan Cak Imin.
Namun, konsekuensi dari dukungan politiknya tersebut membawa Eka ke dalam pusaran kontroversi dan intimidasi.";trends.tribunnews.com;2023-12-27 08:28:36;https://trends.tribunnews.com/2023/12/27/profil-eka-anugrah-wanita-sumbangkan-100-mobil-untuk-tim-pemenangan-anis-cak-imin-seorang-bidan
Anies Baswedan Live TikTok, Banjir Apresiasi dan Pujian dari Netizen: Berasa Kuliah Malam;"Capres Nomor Urut 01 Anies Rasyid Baswedan sempatkan diri live TikTok langsung dibanjiri apresiasi dan pujian dari netizen. Foto: Capres Nomor Urut 01, Anies Rasyid Baswedan
WARTAKOTALIVE.COM - Dalam perjalanan dari Banyuwangi ke Situbondo, Jawa Timur, Capres Nomor Urut 01 Anies Rasyid Baswedan menyempatkan diri live TikTok, Kamis (28/12/2023).
Mulai dari jangan takut gagal hingga soal skripsi dibahas oleh Anies Baswedan.
Kegiatan Anies Baswedan live TikTok pun disambut positif oleh netizen di TikTok.
Berbagai komentar muncul dari netizen setelah Anies Baswedan live TikTok.
Baca juga: Anies Baswedan Live TikTok, Bahas Soal Kegagalan Hingga Memotivasi Kaum Muda agar Berani Bermimpi
Sebagian besar dari netizen TikTok pun memberi apresiasi ke Anies Baswedan.
@flickeraya misalnya mengutip ucapan live TikTok Anies di akun X-nya.
""Kita tidak mungkin bermimpi hal yang tidak kita ketahui -Pak Anies di live tiktok sekarang banget. gosh that's actually very true.""
Sementara akun X Kimmy @kimmytaerae merasa tersemangati Capres Anies untuk segera menyelesaikan skripsinya.
""Pak Anies next live tiktok saya mau konsul skripsi vibesnya kyk maju ke dospem"" ujar Kimmy.
""Yang aku inget kmrn pas live Pak Anies bilang 'kuliah itu pas dijalani berat, tapi kalo udh lulus, ceritanya ya tinggal bahagianya aja' Ya bener sih"" ujar akun X siap siap kuliah luring! @ayunindy17.
Senada dengan akun X @breakitty yang merasa live Tiktok Gubernur DKI Jakarta 2017-2022 ini seperti kuliah malam.
""Pak Anies live tiktok berasa kuliah malem"" ujarnya.
""Pak Anies live in tiktok is the most random things that happen today dayummm,” ujar akun X ≷Aurora @txtdariyeji.
“Jangan takut bermimpi, mimpi itu gratis. Kita harus punya bacaan yang luas supaya mimpi kita luas karena yang diimpikan dan yang dibayangkan selalu yang kita ketahui,” kata @reefqyk.";wartakota.tribunnews.com;2023-12-29 08:28:13;https://wartakota.tribunnews.com/2023/12/29/anies-baswedan-live-tiktok-banjir-apresiasi-dan-pujian-dari-netizen-berasa-kuliah-malam
Anies Baswedan Kembali Kunjungi Aceh, Sapa Warga Aceh Timur, Langsa dan Aceh Tamiang;"Calon Presiden nomor urut 1 Anies Rasyid Baswedan dijadwalkan akan kembali berkunjung ke Aceh pada Minggu (17/12/2023).
SERAMBINEWS.COM, BANDA ACEH - Calon Presiden nomor urut 1 Anies Rasyid Baswedan dijadwalkan akan kembali berkunjung ke Aceh pada Minggu (17/12/2023).
Kali ini ia akan menyapa masyarakat disisir timur Aceh, yaitu Aceh Timur, Langsa, dan Aceh Tamiang.
Anies akan mendarat di Bandara Malikussaleh, Aceh Utara, sekitar pukul 08:00 WIB.
Selanjutnya menuju Simpang Ulim di Aceh Timur untuk menghadiri Haul Akbar dan Maulid Nabi Muhammad SAW.
Capten pemenangan pasangan AMIN (Anies - Muhamin) Ustaz Ghufran mengatakan, dalam kunjungan kali ini Anies akan mengunjungi tiga daerah yaitu Aceh Timur, Langsa, dan Aceh Tamiang.
Baca juga: Anies-Muhaimin Tandatangani Pakta Integritas dengan Ulama, Setujui 13 Poin Rekomendasi Ijtima Ulama
""Di Kota Langsa Pak Anies akan bertemu generasi muda dan warga untuk berdialog,"" kata Ustaz Ghufran didampingi Jubir Sekber AMIN Munawar AR atau akrab disapa Ngoh Wan, Jum'at (15/12/2023).
Dari Langsa, Anies bergerak menuju Aceh Tamiang untuk menyapa masyarakat di sana.
""Pak Anies akan berdialog dengan petani sawit di Aceh Tamiang,"" tambah Munawar AR.(*)
Baca juga: VIDEO - Ustadz Abdul Somad Siap Dukung Anies Baswedan Jadi Presiden di Pilpres 2024";aceh.tribunnews.com;2023-12-15 18:05:39;https://aceh.tribunnews.com/2023/12/15/anies-baswedan-kembali-kunjungi-aceh-sapa-warga-aceh-timur-langsa-dan-aceh-tamiang
Minggu, Anies Baswedan Dijadwalkan Berkunjung ke Aceh Tamiang;"Calon Presiden RI, Anies Baswedan dijadwalkan berkunjung ke Aceh Tamiang, Minggu (17/12/2023)
Laporan Rahmad Wiguna | Aceh Tamiang
SERAMBINEWS.COM, KUALASIMPANG - Calon Presiden RI, Anies Baswedan dijadwalkan berkunjung ke Aceh Tamiang, Minggu (17/12/2023).
Kunjungan ini merupakan bagian dari rangkaian kegiatan politik Anies Baswedan di sejumlah daerah di Provinsi Aceh.
Informasi kunjungan Anies Baswedan ini dibenarkan Ketua DPC Nasdem, Aceh Tamiang, Maulizar Zikri.
Sesuai jadwal yang sudah diterimanya, Anies tiba di Aceh Tamiang pada Minggu (17/12/2023) diperkirakan pukul 17.00 WIB.
Baca juga: Anies Baswedan Kembali Kunjungi Aceh, Sapa Warga Aceh Timur, Langsa dan Aceh Tamiang
“Insya Allah sore sudah bisa berkumpul bersama kita di Aceh Tamiang,” kata Dekdan, sapaan Maulizar Zikri, Sabtu (16/12/2023).
Anggota Komisi I DPRK Aceh Tamiang ini menambahkan awalnya kegiatan Anies di Aceh hanya di Aceh Timur dan Langsa.
Di Aceh Timur, Anies menghadiri acara di Komplek Masjid Ba’alawi, Simpangulim.
Sedangkan di Langsa kegiatannya dipusatkan di sebuah warung kopi.
Baca juga: Alasan UAS Dukung Anies-Muhaimin di Pilpres 2024, Timnas AMIN: Bisa Tingkatkan Partisipasi Pemilih
“Agenda kunjungan ini didengar oleh kawan-kawan di Aceh Tamiang, mereka pun berharap Pak Anies mau singgah ke Aceh Tamiang,” ungkapnya.
Harapan warga ini kemudian disampaikan Dekdan kepada tim juru kampanye di Banda Aceh.
“Alhamdulillah dipenuhi, kami merasa tersanjung karena Pak Anies mau menyempatkan waktunya singgah ke daerah kami,” sambungnya.
Melihat sempitnya waktu yang dimiliki Anies, keberadaannya di Aceh Tamiang diperkirakan hanya selama satu jam.
Pertemuan ini akan dilakukan terbatas di sebuah warung kopi di Karangbaru, Aceh Tamiang. (mad)
Baca juga: Pengungsi Rohingya Sudah Masuk Pekanbaru, 13 Orang Luntang-lantung di Kota: Kami Tidur di Jalan";aceh.tribunnews.com;2023-12-16 10:51:23;https://aceh.tribunnews.com/2023/12/16/minggu-anies-baswedan-dijadwalkan-berkunjung-ke-aceh-tamiang
